categoria;dono;tipo;arquivo;emissao;vencimento;status;dias_ate_vencer;caminho;ocr
motoristas;ADAM MOREIRA;CNH;ADAM - CNH.pdf;;2027-04-27;ok;285;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\ADAM MOREIRA\ADAM - CNH.pdf;S
motoristas;ADAM MOREIRA;MOPP;ADAN MOPP.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\ADAM MOREIRA\sem-data\ADAN MOPP.pdf;S
motoristas;ADAM MOREIRA;NR35;NR 35 ADAM.pdf;;2025-09-11;vencido;-308;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\ADAM MOREIRA\vencidos\NR 35 ADAM.pdf;S
motoristas;ADAM MOREIRA;NR20;NR20 ADAM.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\ADAM MOREIRA\sem-data\NR20 ADAM.pdf;S
motoristas;AGADIR MACHADO;CNH;CNH AGADIR MACHADO.pdf;;2032-12-07;ok;2336;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\AGADIR MACHADO\CNH AGADIR MACHADO.pdf;S
motoristas;AGADIR MACHADO;MOPP;MOPP AGADIR.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\AGADIR MACHADO\sem-data\MOPP AGADIR.pdf;S
motoristas;AGADIR MACHADO;NR20;NR 20 AGADIR.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\AGADIR MACHADO\sem-data\NR 20 AGADIR.pdf;S
motoristas;ANGELO MARCHINI NETO;CNH;CNH angelo.pdf;;2030-10-17;ok;1554;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\ANGELO MARCHINI NETO\CNH angelo.pdf;S
motoristas;ANGELO MARCHINI NETO;MOPP;mopp angelo.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\ANGELO MARCHINI NETO\sem-data\mopp angelo.pdf;S
motoristas;ANGELO MARCHINI NETO;NR20;NR 20 ANGELO.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\ANGELO MARCHINI NETO\sem-data\NR 20 ANGELO.pdf;S
motoristas;ANGELO MARCHINI NETO;NR35;NR 35 ANGELO.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\ANGELO MARCHINI NETO\sem-data\NR 35 ANGELO.pdf;S
motoristas;CELSO LUIZ PONTAROLO;CNH;CNH digital CELSO .pdf;;2031-08-30;ok;1871;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\CELSO LUIZ PONTAROLO\CNH digital CELSO .pdf;S
motoristas;CELSO LUIZ PONTAROLO;MOPP;Mopp CELSO .pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\CELSO LUIZ PONTAROLO\sem-data\Mopp CELSO .pdf;S
motoristas;CELSO LUIZ PONTAROLO;NR20;NR 20 CELSO.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\CELSO LUIZ PONTAROLO\sem-data\NR 20 CELSO.pdf;S
motoristas;CELSO LUIZ PONTAROLO;NR35;NR 35 CELSO.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\CELSO LUIZ PONTAROLO\sem-data\NR 35 CELSO.pdf;S
motoristas;CLAUDINOR DE SOUZA;CNH;CNH CLAUDINOR D SOUZA.pdf;;2034-10-24;ok;3022;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\CLAUDINOR DE SOUZA\CNH CLAUDINOR D SOUZA.pdf;S
motoristas;CLAUDINOR DE SOUZA;MOPP;MOPP CLAUDINOR DE SOUZA.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\CLAUDINOR DE SOUZA\sem-data\MOPP CLAUDINOR DE SOUZA.pdf;S
motoristas;CLAUDINOR DE SOUZA;MOPP;MOPP CLAUDINOR.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\CLAUDINOR DE SOUZA\sem-data\MOPP CLAUDINOR.pdf;S
motoristas;CLAUDINOR DE SOUZA;NR20;NR20 CLAUDINOR.pdf;;2026-02-06;vencido;-160;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\CLAUDINOR DE SOUZA\vencidos\NR20 CLAUDINOR.pdf;S
motoristas;CLAUDINOR DE SOUZA;NR35;NR35 CLAUDINOR.pdf;;2025-02-12;vencido;-519;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\CLAUDINOR DE SOUZA\vencidos\NR35 CLAUDINOR.pdf;S
motoristas;COSME DA SILVA;CNH;CNH-e.pdf;;2034-01-17;ok;2742;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\COSME DA SILVA\CNH-e.pdf;S
motoristas;COSME DA SILVA;MOPP;MOPP COSME.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\COSME DA SILVA\sem-data\MOPP COSME.pdf;S
motoristas;COSME DA SILVA;NR20;NR20 COSME.pdf;;2025-09-29;vencido;-290;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\COSME DA SILVA\vencidos\NR20 COSME.pdf;S
motoristas;COSME DA SILVA;NR35;NR35 COSME_001.pdf;;2025-09-30;vencido;-289;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\COSME DA SILVA\vencidos\NR35 COSME_001.pdf;S
motoristas;EDINEY ERNESTO;CNH;CNH- EDINEY.pdf;;2033-05-17;ok;2497;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\EDINEY ERNESTO\CNH- EDINEY.pdf;S
motoristas;EDINEY ERNESTO;MOPP;MOPP EDINEY.pdf;;2026-02-01;vencido;-164;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\EDINEY ERNESTO\vencidos\MOPP EDINEY.pdf;N
motoristas;EDINEY ERNESTO;NR20;NR20 EDINEY.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Motoristas\EDINEY ERNESTO\sem-data\NR20 EDINEY.pdf;S
